23:17:54 20/4/25,70.0,530.0,282.0,118.0,516.0,907.0,1921.0,1911.0,1583.0,877.0,418.0,252.0,154.0,102.0,94.0,48.0,48.0,33.0,
23:18:9 20/4/25,69.0,526.0,282.0,117.0,514.0,903.0,1920.0,1910.0,1674.0,877.0,441.0,252.0,162.0,107.0,99.0,51.0,48.0,33.0,
23:18:24 20/4/25,23.0,174.0,94.0,39.0,172.0,304.0,796.0,793.0,415.0,364.0,111.0,107.0,41.0,27.0,25.0,13.0,20.0,13.0,
23:18:39 20/4/25,23.0,172.0,93.0,39.0,170.0,300.0,787.0,783.0,413.0,360.0,110.0,105.0,40.0,27.0,24.0,13.0,20.0,13.0,
23:18:54 20/4/25,22.0,170.0,92.0,38.0,168.0,296.0,778.0,775.0,410.0,356.0,109.0,104.0,40.0,27.0,24.0,12.0,20.0,13.0,
23:19:9 20/4/25,22.0,168.0,91.0,38.0,166.0,293.0,771.0,768.0,407.0,353.0,109.0,103.0,40.0,27.0,24.0,12.0,20.0,13.0,
23:19:24 20/4/25,22.0,167.0,90.0,38.0,165.0,291.0,765.0,761.0,405.0,350.0,108.0,102.0,40.0,27.0,24.0,12.0,19.0,13.0,
23:19:39 20/4/25,21.0,163.0,88.0,37.0,161.0,284.0,748.0,744.0,398.0,342.0,106.0,100.0,39.0,26.0,24.0,12.0,19.0,13.0,
23:19:54 20/4/25,21.0,160.0,86.0,36.0,157.0,277.0,731.0,728.0,391.0,335.0,104.0,98.0,38.0,26.0,23.0,12.0,19.0,12.0,
23:20:9 20/4/25,21.0,157.0,85.0,35.0,156.0,274.0,723.0,719.0,387.0,331.0,103.0,97.0,38.0,25.0,23.0,12.0,18.0,12.0,
23:20:24 20/4/25,20.0,156.0,85.0,35.0,154.0,272.0,716.0,713.0,385.0,327.0,103.0,96.0,38.0,25.0,23.0,12.0,18.0,12.0,
23:20:39 20/4/25,20.0,155.0,84.0,35.0,153.0,269.0,710.0,707.0,382.0,325.0,102.0,95.0,38.0,25.0,23.0,12.0,18.0,12.0,
23:20:54 20/4/25,20.0,154.0,83.0,35.0,152.0,267.0,705.0,701.0,380.0,322.0,102.0,95.0,37.0,25.0,22.0,12.0,18.0,12.0,
23:21:9 20/4/25,20.0,150.0,82.0,34.0,148.0,263.0,689.0,685.0,374.0,315.0,100.0,93.0,37.0,24.0,22.0,11.0,17.0,12.0,
23:21:24 20/4/25,19.0,149.0,81.0,34.0,147.0,260.0,683.0,680.0,371.0,313.0,99.0,92.0,36.0,24.0,22.0,11.0,17.0,12.0,
23:21:39 20/4/25,19.0,148.0,81.0,33.0,146.0,258.0,679.0,676.0,369.0,311.0,99.0,91.0,36.0,24.0,22.0,11.0,17.0,11.0,
23:21:54 20/4/25,19.0,147.0,80.0,33.0,145.0,257.0,674.0,671.0,367.0,309.0,98.0,91.0,36.0,24.0,22.0,11.0,17.0,11.0,
23:22:9 20/4/25,19.0,145.0,79.0,33.0,143.0,253.0,664.0,661.0,362.0,304.0,97.0,89.0,36.0,24.0,21.0,11.0,17.0,11.0,
23:22:24 20/4/25,19.0,144.0,78.0,33.0,143.0,251.0,660.0,657.0,361.0,302.0,96.0,89.0,35.0,24.0,21.0,11.0,17.0,11.0,
23:22:39 20/4/25,19.0,142.0,77.0,32.0,140.0,249.0,649.0,646.0,357.0,297.0,95.0,88.0,35.0,23.0,21.0,11.0,16.0,11.0,
